,car_model,year_of_manufacture,price,fuel,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1
30,alto k10,2016,4253.73,Petrol,10.0,,,,,,,,,,,,,,
31,ignis,2017,7313.43,Petrol,11.0,,,,,,,,,,,,,,
32,sx4,2011,6567.16,Petrol,12.0,,,,,,,,,,,,,,
33,alto k10,2014,3731.34,Petrol,13.0,,,,,,,,,,,,,,
34,wagon r,2013,4328.36,Petrol,14.0,,,,,,,,,,,,,,
35,swift,2011,4477.61,Petrol,15.0,,,,,,,,,,,,,,
36,swift,2013,6194.03,Petrol,16.0,,,,,,,,,,,,,,
37,swift,2017,8955.22,Petrol,17.0,,,,,,,,,,,,,,
38,alto k10,2010,2910.45,Petrol,18.0,,,,,,,,,,,,,,
39,ciaz,2015,11119.4,Diesel,19.0,,,,,,,,,,,,,,
40,ritz,2014,5000.0,Petrol,20.0,0.0,,,,,,,,,,,,,
41,sx4,2013,7089.55,Diesel,21.0,1.0,,,,,,,,,,,,,
42,ciaz,2017,10820.9,Petrol,22.0,2.0,,,,,,,,,,,,,
43,wagon r,2011,4253.73,Petrol,23.0,3.0,,,,,,,,,,,,,
44,swift,2014,6865.67,Diesel,24.0,4.0,,,,,,,,,,,,,
45,vitara brezza,2018,13805.97,Diesel,25.0,5.0,,,,,,,,,,,,,
46,ciaz,2015,10074.63,Petrol,26.0,6.0,,,,,,,,,,,,,
47,s cross,2015,9701.49,Diesel,27.0,7.0,,,,,,,,,,,,,
48,ciaz,2016,13059.7,Diesel,28.0,8.0,,,,,,,,,,,,,
49,ciaz,2015,11119.4,Diesel,29.0,9.0,,,,,,,,,,,,,
50,alto k10,2016,4253.73,Petrol,30.0,10.0,,,,,,,,,,,,,
51,ignis,2017,7313.43,Petrol,31.0,11.0,,,,,,,,,,,,,
52,sx4,2011,6567.16,Petrol,32.0,12.0,,,,,,,,,,,,,
53,alto k10,2014,3731.34,Petrol,33.0,13.0,,,,,,,,,,,,,
54,wagon r,2013,4328.36,Petrol,34.0,14.0,,,,,,,,,,,,,
55,swift,2011,4477.61,Petrol,35.0,15.0,,,,,,,,,,,,,
56,swift,2013,6194.03,Petrol,36.0,16.0,,,,,,,,,,,,,
57,swift,2017,8955.22,Petrol,37.0,17.0,,,,,,,,,,,,,
58,alto k10,2010,2910.45,Petrol,38.0,18.0,,,,,,,,,,,,,
59,ciaz,2015,11119.4,Diesel,39.0,19.0,,,,,,,,,,,,,
60,ritz,2014,5000.0,Petrol,40.0,20.0,0.0,,,,,,,,,,,,
61,sx4,2013,7089.55,Diesel,41.0,21.0,1.0,,,,,,,,,,,,
62,ciaz,2017,10820.9,Petrol,42.0,22.0,2.0,,,,,,,,,,,,
63,wagon r,2011,4253.73,Petrol,43.0,23.0,3.0,,,,,,,,,,,,
64,swift,2014,6865.67,Diesel,44.0,24.0,4.0,,,,,,,,,,,,
65,vitara brezza,2018,13805.97,Diesel,45.0,25.0,5.0,,,,,,,,,,,,
66,ciaz,2015,10074.63,Petrol,46.0,26.0,6.0,,,,,,,,,,,,
67,s cross,2015,9701.49,Diesel,47.0,27.0,7.0,,,,,,,,,,,,
68,ciaz,2016,13059.7,Diesel,48.0,28.0,8.0,,,,,,,,,,,,
69,ciaz,2015,11119.4,Diesel,49.0,29.0,9.0,,,,,,,,,,,,
70,alto k10,2016,4253.73,Petrol,50.0,30.0,10.0,,,,,,,,,,,,
71,ignis,2017,7313.43,Petrol,51.0,31.0,11.0,,,,,,,,,,,,
72,sx4,2011,6567.16,Petrol,52.0,32.0,12.0,,,,,,,,,,,,
73,alto k10,2014,3731.34,Petrol,53.0,33.0,13.0,,,,,,,,,,,,
74,wagon r,2013,4328.36,Petrol,54.0,34.0,14.0,,,,,,,,,,,,
75,swift,2011,4477.61,Petrol,55.0,35.0,15.0,,,,,,,,,,,,
76,swift,2013,6194.03,Petrol,56.0,36.0,16.0,,,,,,,,,,,,
77,swift,2017,8955.22,Petrol,57.0,37.0,17.0,,,,,,,,,,,,
78,alto k10,2010,2910.45,Petrol,58.0,38.0,18.0,,,,,,,,,,,,
79,ciaz,2015,11119.4,Diesel,59.0,39.0,19.0,,,,,,,,,,,,
80,ritz,2014,5000.0,Petrol,60.0,40.0,20.0,0.0,,,,,,,,,,,
81,sx4,2013,7089.55,Diesel,61.0,41.0,21.0,1.0,,,,,,,,,,,
82,ciaz,2017,10820.9,Petrol,62.0,42.0,22.0,2.0,,,,,,,,,,,
83,wagon r,2011,4253.73,Petrol,63.0,43.0,23.0,3.0,,,,,,,,,,,
84,swift,2014,6865.67,Diesel,64.0,44.0,24.0,4.0,,,,,,,,,,,
85,vitara brezza,2018,13805.97,Diesel,65.0,45.0,25.0,5.0,,,,,,,,,,,
86,ciaz,2015,10074.63,Petrol,66.0,46.0,26.0,6.0,,,,,,,,,,,
87,s cross,2015,9701.49,Diesel,67.0,47.0,27.0,7.0,,,,,,,,,,,
88,ciaz,2016,13059.7,Diesel,68.0,48.0,28.0,8.0,,,,,,,,,,,
89,ciaz,2015,11119.4,Diesel,69.0,49.0,29.0,9.0,,,,,,,,,,,
90,alto k10,2016,4253.73,Petrol,70.0,50.0,30.0,10.0,,,,,,,,,,,
91,ignis,2017,7313.43,Petrol,71.0,51.0,31.0,11.0,,,,,,,,,,,
92,sx4,2011,6567.16,Petrol,72.0,52.0,32.0,12.0,,,,,,,,,,,
93,alto k10,2014,3731.34,Petrol,73.0,53.0,33.0,13.0,,,,,,,,,,,
94,wagon r,2013,4328.36,Petrol,74.0,54.0,34.0,14.0,,,,,,,,,,,
95,swift,2011,4477.61,Petrol,75.0,55.0,35.0,15.0,,,,,,,,,,,
96,swift,2013,6194.03,Petrol,76.0,56.0,36.0,16.0,,,,,,,,,,,
97,swift,2017,8955.22,Petrol,77.0,57.0,37.0,17.0,,,,,,,,,,,
98,alto k10,2010,2910.45,Petrol,78.0,58.0,38.0,18.0,,,,,,,,,,,
99,ciaz,2015,11119.4,Diesel,79.0,59.0,39.0,19.0,,,,,,,,,,,
100,ritz,2014,5000.0,Petrol,80.0,60.0,40.0,20.0,0.0,,,,,,,,,,
101,sx4,2013,7089.55,Diesel,81.0,61.0,41.0,21.0,1.0,,,,,,,,,,
102,ciaz,2017,10820.9,Petrol,82.0,62.0,42.0,22.0,2.0,,,,,,,,,,
103,wagon r,2011,4253.73,Petrol,83.0,63.0,43.0,23.0,3.0,,,,,,,,,,
104,swift,2014,6865.67,Diesel,84.0,64.0,44.0,24.0,4.0,,,,,,,,,,
105,vitara brezza,2018,13805.97,Diesel,85.0,65.0,45.0,25.0,5.0,,,,,,,,,,
106,ciaz,2015,10074.63,Petrol,86.0,66.0,46.0,26.0,6.0,,,,,,,,,,
107,s cross,2015,9701.49,Diesel,87.0,67.0,47.0,27.0,7.0,,,,,,,,,,
108,ciaz,2016,13059.7,Diesel,88.0,68.0,48.0,28.0,8.0,,,,,,,,,,
109,ciaz,2015,11119.4,Diesel,89.0,69.0,49.0,29.0,9.0,,,,,,,,,,
110,alto k10,2016,4253.73,Petrol,90.0,70.0,50.0,30.0,10.0,,,,,,,,,,
111,ignis,2017,7313.43,Petrol,91.0,71.0,51.0,31.0,11.0,,,,,,,,,,
112,sx4,2011,6567.16,Petrol,92.0,72.0,52.0,32.0,12.0,,,,,,,,,,
113,alto k10,2014,3731.34,Petrol,93.0,73.0,53.0,33.0,13.0,,,,,,,,,,
114,wagon r,2013,4328.36,Petrol,94.0,74.0,54.0,34.0,14.0,,,,,,,,,,
115,swift,2011,4477.61,Petrol,95.0,75.0,55.0,35.0,15.0,,,,,,,,,,
116,swift,2013,6194.03,Petrol,96.0,76.0,56.0,36.0,16.0,,,,,,,,,,
117,swift,2017,8955.22,Petrol,97.0,77.0,57.0,37.0,17.0,,,,,,,,,,
118,alto k10,2010,2910.45,Petrol,98.0,78.0,58.0,38.0,18.0,,,,,,,,,,
119,ciaz,2015,11119.4,Diesel,99.0,79.0,59.0,39.0,19.0,,,,,,,,,,
120,ritz,2014,5000.0,Petrol,100.0,80.0,60.0,40.0,20.0,0.0,,,,,,,,,
121,sx4,2013,7089.55,Diesel,101.0,81.0,61.0,41.0,21.0,1.0,,,,,,,,,
122,ciaz,2017,10820.9,Petrol,102.0,82.0,62.0,42.0,22.0,2.0,,,,,,,,,
123,wagon r,2011,4253.73,Petrol,103.0,83.0,63.0,43.0,23.0,3.0,,,,,,,,,
124,swift,2014,6865.67,Diesel,104.0,84.0,64.0,44.0,24.0,4.0,,,,,,,,,
125,vitara brezza,2018,13805.97,Diesel,105.0,85.0,65.0,45.0,25.0,5.0,,,,,,,,,
126,ciaz,2015,10074.63,Petrol,106.0,86.0,66.0,46.0,26.0,6.0,,,,,,,,,
127,s cross,2015,9701.49,Diesel,107.0,87.0,67.0,47.0,27.0,7.0,,,,,,,,,
128,ciaz,2016,13059.7,Diesel,108.0,88.0,68.0,48.0,28.0,8.0,,,,,,,,,
129,ciaz,2015,11119.4,Diesel,109.0,89.0,69.0,49.0,29.0,9.0,,,,,,,,,
130,alto k10,2016,4253.73,Petrol,110.0,90.0,70.0,50.0,30.0,10.0,,,,,,,,,
131,ignis,2017,7313.43,Petrol,111.0,91.0,71.0,51.0,31.0,11.0,,,,,,,,,
132,sx4,2011,6567.16,Petrol,112.0,92.0,72.0,52.0,32.0,12.0,,,,,,,,,
133,alto k10,2014,3731.34,Petrol,113.0,93.0,73.0,53.0,33.0,13.0,,,,,,,,,
134,wagon r,2013,4328.36,Petrol,114.0,94.0,74.0,54.0,34.0,14.0,,,,,,,,,
135,swift,2011,4477.61,Petrol,115.0,95.0,75.0,55.0,35.0,15.0,,,,,,,,,
136,swift,2013,6194.03,Petrol,116.0,96.0,76.0,56.0,36.0,16.0,,,,,,,,,
137,swift,2017,8955.22,Petrol,117.0,97.0,77.0,57.0,37.0,17.0,,,,,,,,,
138,alto k10,2010,2910.45,Petrol,118.0,98.0,78.0,58.0,38.0,18.0,,,,,,,,,
139,ciaz,2015,11119.4,Diesel,119.0,99.0,79.0,59.0,39.0,19.0,,,,,,,,,
140,ritz,2014,5000.0,Petrol,120.0,100.0,80.0,60.0,40.0,20.0,0.0,,,,,,,,
141,sx4,2013,7089.55,Diesel,121.0,101.0,81.0,61.0,41.0,21.0,1.0,,,,,,,,
142,ciaz,2017,10820.9,Petrol,122.0,102.0,82.0,62.0,42.0,22.0,2.0,,,,,,,,
143,wagon r,2011,4253.73,Petrol,123.0,103.0,83.0,63.0,43.0,23.0,3.0,,,,,,,,
144,swift,2014,6865.67,Diesel,124.0,104.0,84.0,64.0,44.0,24.0,4.0,,,,,,,,
145,vitara brezza,2018,13805.97,Diesel,125.0,105.0,85.0,65.0,45.0,25.0,5.0,,,,,,,,
146,ciaz,2015,10074.63,Petrol,126.0,106.0,86.0,66.0,46.0,26.0,6.0,,,,,,,,
147,s cross,2015,9701.49,Diesel,127.0,107.0,87.0,67.0,47.0,27.0,7.0,,,,,,,,
148,ciaz,2016,13059.7,Diesel,128.0,108.0,88.0,68.0,48.0,28.0,8.0,,,,,,,,
149,ciaz,2015,11119.4,Diesel,129.0,109.0,89.0,69.0,49.0,29.0,9.0,,,,,,,,
150,alto k10,2016,4253.73,Petrol,130.0,110.0,90.0,70.0,50.0,30.0,10.0,,,,,,,,
151,ignis,2017,7313.43,Petrol,131.0,111.0,91.0,71.0,51.0,31.0,11.0,,,,,,,,
152,sx4,2011,6567.16,Petrol,132.0,112.0,92.0,72.0,52.0,32.0,12.0,,,,,,,,
153,alto k10,2014,3731.34,Petrol,133.0,113.0,93.0,73.0,53.0,33.0,13.0,,,,,,,,
154,wagon r,2013,4328.36,Petrol,134.0,114.0,94.0,74.0,54.0,34.0,14.0,,,,,,,,
155,swift,2011,4477.61,Petrol,135.0,115.0,95.0,75.0,55.0,35.0,15.0,,,,,,,,
156,swift,2013,6194.03,Petrol,136.0,116.0,96.0,76.0,56.0,36.0,16.0,,,,,,,,
157,swift,2017,8955.22,Petrol,137.0,117.0,97.0,77.0,57.0,37.0,17.0,,,,,,,,
158,alto k10,2010,2910.45,Petrol,138.0,118.0,98.0,78.0,58.0,38.0,18.0,,,,,,,,
159,ciaz,2015,11119.4,Diesel,139.0,119.0,99.0,79.0,59.0,39.0,19.0,,,,,,,,
160,ritz,2014,5000.0,Petrol,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,,,,,,,
161,sx4,2013,7089.55,Diesel,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,,,,,,,
162,ciaz,2017,10820.9,Petrol,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,,,,,,,
163,wagon r,2011,4253.73,Petrol,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,,,,,,,
164,swift,2014,6865.67,Diesel,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,,,,,,,
165,vitara brezza,2018,13805.97,Diesel,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,,,,,,,
166,ciaz,2015,10074.63,Petrol,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,,,,,,,
167,s cross,2015,9701.49,Diesel,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,,,,,,,
168,ciaz,2016,13059.7,Diesel,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,,,,,,,
169,ciaz,2015,11119.4,Diesel,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,,,,,,,
170,alto k10,2016,4253.73,Petrol,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,,,,,,,
171,ignis,2017,7313.43,Petrol,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,,,,,,,
172,sx4,2011,6567.16,Petrol,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,,,,,,,
173,alto k10,2014,3731.34,Petrol,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,,,,,,,
174,wagon r,2013,4328.36,Petrol,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,,,,,,,
175,swift,2011,4477.61,Petrol,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,,,,,,,
176,swift,2013,6194.03,Petrol,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,,,,,,,
177,swift,2017,8955.22,Petrol,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,,,,,,,
178,alto k10,2010,2910.45,Petrol,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,,,,,,,
179,ciaz,2015,11119.4,Diesel,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,,,,,,,
180,ritz,2014,5000.0,Petrol,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,,,,,,
181,sx4,2013,7089.55,Diesel,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,,,,,,
182,ciaz,2017,10820.9,Petrol,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,,,,,,
183,wagon r,2011,4253.73,Petrol,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,,,,,,
184,swift,2014,6865.67,Diesel,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,,,,,,
185,vitara brezza,2018,13805.97,Diesel,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,,,,,,
186,ciaz,2015,10074.63,Petrol,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,,,,,,
187,s cross,2015,9701.49,Diesel,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,,,,,,
188,ciaz,2016,13059.7,Diesel,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,,,,,,
189,ciaz,2015,11119.4,Diesel,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,,,,,,
190,alto k10,2016,4253.73,Petrol,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,,,,,,
191,ignis,2017,7313.43,Petrol,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,,,,,,
192,sx4,2011,6567.16,Petrol,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,,,,,,
193,alto k10,2014,3731.34,Petrol,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,,,,,,
194,wagon r,2013,4328.36,Petrol,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,,,,,,
195,swift,2011,4477.61,Petrol,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,,,,,,
196,swift,2013,6194.03,Petrol,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,,,,,,
197,swift,2017,8955.22,Petrol,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,,,,,,
198,alto k10,2010,2910.45,Petrol,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,,,,,,
199,ciaz,2015,11119.4,Diesel,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,,,,,,
200,ritz,2014,5000.0,Petrol,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,,,,,
201,sx4,2013,7089.55,Diesel,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,,,,,
202,ciaz,2017,10820.9,Petrol,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,,,,,
203,wagon r,2011,4253.73,Petrol,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,,,,,
204,swift,2014,6865.67,Diesel,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,,,,,
205,vitara brezza,2018,13805.97,Diesel,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,,,,,
206,ciaz,2015,10074.63,Petrol,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,,,,,
207,s cross,2015,9701.49,Diesel,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,,,,,
208,ciaz,2016,13059.7,Diesel,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,,,,,
209,ciaz,2015,11119.4,Diesel,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,,,,,
210,alto k10,2016,4253.73,Petrol,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,,,,,
211,ignis,2017,7313.43,Petrol,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,,,,,
212,sx4,2011,6567.16,Petrol,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,,,,,
213,alto k10,2014,3731.34,Petrol,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,,,,,
214,wagon r,2013,4328.36,Petrol,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,,,,,
215,swift,2011,4477.61,Petrol,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,,,,,
216,swift,2013,6194.03,Petrol,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,,,,,
217,swift,2017,8955.22,Petrol,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,,,,,
218,alto k10,2010,2910.45,Petrol,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,,,,,
219,ciaz,2015,11119.4,Diesel,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,,,,,
220,ritz,2014,5000.0,Petrol,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,,,,
221,sx4,2013,7089.55,Diesel,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,,,,
222,ciaz,2017,10820.9,Petrol,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,,,,
223,wagon r,2011,4253.73,Petrol,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,,,,
224,swift,2014,6865.67,Diesel,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,,,,
225,vitara brezza,2018,13805.97,Diesel,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,,,,
226,ciaz,2015,10074.63,Petrol,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,,,,
227,s cross,2015,9701.49,Diesel,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,,,,
228,ciaz,2016,13059.7,Diesel,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,,,,
229,ciaz,2015,11119.4,Diesel,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,,,,
230,alto k10,2016,4253.73,Petrol,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,,,,
231,ignis,2017,7313.43,Petrol,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,,,,
232,sx4,2011,6567.16,Petrol,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,,,,
233,alto k10,2014,3731.34,Petrol,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,,,,
234,wagon r,2013,4328.36,Petrol,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,,,,
235,swift,2011,4477.61,Petrol,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,,,,
236,swift,2013,6194.03,Petrol,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,,,,
237,swift,2017,8955.22,Petrol,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,,,,
238,alto k10,2010,2910.45,Petrol,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,,,,
239,ciaz,2015,11119.4,Diesel,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,,,,
240,ritz,2014,5000.0,Petrol,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,,,
241,sx4,2013,7089.55,Diesel,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,,,
242,ciaz,2017,10820.9,Petrol,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,,,
243,wagon r,2011,4253.73,Petrol,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,,,
244,swift,2014,6865.67,Diesel,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,,,
245,vitara brezza,2018,13805.97,Diesel,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,,,
246,ciaz,2015,10074.63,Petrol,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,,,
247,s cross,2015,9701.49,Diesel,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,,,
248,ciaz,2016,13059.7,Diesel,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,,,
249,ciaz,2015,11119.4,Diesel,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,,,
250,alto k10,2016,4253.73,Petrol,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,,,
251,ignis,2017,7313.43,Petrol,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,,,
252,sx4,2011,6567.16,Petrol,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,,,
253,alto k10,2014,3731.34,Petrol,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,,,
